R编号,event_id,行类型,阶段(原表),六阶段(6.2),学生发言,AI可见回复,透镜标签,"标签归属
← 人工复核",归属置信,归属初判依据,"卡片调用
card_id","卡片调用
触发来源","卡片调用
学生目标","卡片调用
卡片输出","卡片调用
下游产物",发起方,发起方依据,脚手架密度,反馈处置,备注 / 风险标记
127,E043,内部批注,排放数据链,2 资料/文献,我读到中国2025 energy-related CO2可能下降约0.5%。,把它作为趋势补充。,,,,,,,,,,自发,,低,—,
128,E043,内部批注,排放数据链,2 资料/文献,我第一反应想写这说明中国转型成功，但我觉得太快了。,这个自我刹车很重要。,,,,,,,,,,自发,,低,—,
129,E044,内部批注,排放数据链,2 资料/文献,我删掉句子：China has solved emissions because CO2 fell 0.5%。,删得对。,,,,,,,,,,自发,,低,—,
130,E045,内部批注,排放数据链,2 资料/文献,我改成：A small recent decline in energy-related CO2 is encouraging but too narrow to erase China's large annual share。,这句很稳。,,,,,,,,,,自发,,低,—,
131,E046,交互轮,排放数据链,2 资料/文献,我把IEA放在OWID后面，不放段首。,合理。段首先放主限制证据，IEA做nuance。,,,,,,,,,,自发,,低,—,
132,E047,内部批注,排放数据链,2 资料/文献,证据卡IEA-1我先记来源：IEA Global Energy Review 2026 CO2 emissions page,先确认这是谁说的、是什么类型的材料。,,,,,,,,,,自发,,高,—,套版填写(证据卡/资源表骨架源自R9 AI)
133,E047,内部批注,排放数据链,2 资料/文献,这张卡里我真正拿到的事实是：2025 China energy-related CO2 slight decline of about 0.5%,事实要保留指标、对象和时间范围。,,,,,,,,,,自发,,高,—,套版填写(证据卡/资源表骨架源自R9 AI)
134,E047,内部批注,排放数据链,2 资料/文献,我准备用它说明一个比较小的判断：recent trend may be improving but does not reverse the emissions-scale limitation,这个判断要比事实高一层，但不能比事实大太多。,,,,,,,,,,自发,,高,—,套版填写(证据卡/资源表骨架源自R9 AI)
135,E047,内部批注,排放数据链,2 资料/文献,中间的理由我这样写：short-term decline can nuance a claim but cannot substitute for annual global share,这一步就是把事实和观点接起来，很关键。,,,,,,,,,,自发,,高,—,套版填写(证据卡/资源表骨架源自R9 AI)
136,E047,内部批注,排放数据链,2 资料/文献,我在旁边提醒自己：energy-related CO2 only,保留这个限制，后面可以防止过度结论。,,,,,,,,,,自发,,高,—,套版填写(证据卡/资源表骨架源自R9 AI)
137,E047,内部批注,排放数据链,2 资料/文献,"我在旁边提醒自己：short-term trend, not long-term proof",保留这个限制，后面可以防止过度结论。,,,,,,,,,,自发,,高,—,套版填写(证据卡/资源表骨架源自R9 AI)
138,E047,内部批注,排放数据链,2 资料/文献,我在旁边提醒自己：not directly comparable with 2024 global annual share,保留这个限制，后面可以防止过度结论。,,,,,,,,,,自发,,高,—,套版填写(证据卡/资源表骨架源自R9 AI)
139,E047,内部批注,排放数据链,2 资料/文献,这张卡最后大概放在：body paragraph 2 as nuance after OWID/GCB,位置清楚，正文才不会变成资料堆叠。,,,,,,,,,,自发,,高,—,套版填写(证据卡/资源表骨架源自R9 AI)
140,E048,交互轮,排放数据链,2 资料/文献,我在数据兼容性检查表里写：Nature vs OWID/GCB = leaf-area net increase and CO2 annual share are different dimensions,对。不能互相取消，只能共同限定结论。,数据三问,学生执行,中,学生发言中含动作或判断,,,,,,自发,,低,—,透镜标签不构成引导（v3 修订）
141,E049,内部批注,排放数据链,2 资料/文献,我在数据兼容性检查表里写：OWID/GCB vs IEA = 2024 global annual share and 2025 energy-related trend are different metrics,很好。,,,,,,,,,,自发,,低,—,
142,E050,内部批注,排放数据链,2 资料/文献,我在数据兼容性检查表里写：World Bank vs OWID/GCB = migration risk and emissions share address different parts of sustainability,准确。,,,,,,,,,,自发,,低,—,
143,E051,内部批注,排放数据链,2 资料/文献,我在数据兼容性检查表里写：MEE vs Nature/OWID = policy text and outcome indicators have different evidentiary functions,很好。,,,,,,,,,,自发,,低,—,
144,E052,内部批注,排放数据链,2 资料/文献,我在数据兼容性检查表里写：co2science vs Nature = plant mechanism and satellite greening evidence are related but not identical,准确。,,,,,,,,,,自发,,低,—,
145,E053,交互轮,视频与World Bank,2 资料/文献,老师要求至少两种媒介。我需要视频，但视频不能替代数据。,对。先确定视频的证据功能。,,,,,,,,,,引导·任务要求,教师任务说明,中,—,
146,E054,内部批注,视频与World Bank,2 资料/文献,我在Youtube 上面搜索关键词：global warming,搜索词比climate change video更具体。,,,,,,,,,,引导·任务要求,,中,—,老师要求至少两种媒介
147,E055,交互轮,视频与World Bank,2 资料/文献,我找到The Economist的YouTube视频：https://www.youtube.com/watch?v=uynhvHZUOOo，标题What does three degrees of global warming look like?,我不能替你看视频。你自己看，先记人物、地点、场景，不写直接引语。,,,,,,,,,,自发,,低,—,
148,E056,交互轮,视频与World Bank,2 资料/文献,你能不能帮我总结视频。,我不能直接观看视频、听音频或核对字幕。你需要自己看完并告诉我观看笔记。,,,,,,,,,,自发,,低,—,"★ 红线事件:请求 AI 代看视频(AI 拒绝) ｜ 红线事件·AI代看视频:AI 拒绝 → R149-R150 学生自看,边界修复"
149,E057,交互轮,视频与World Bank,2 资料/文献,我第一遍看，只记人物和地点，结论。,很好。先做低推论笔记。,,,,,,,,,,引导·AI提示,R148,中,—,
150,E058,交互轮,视频与World Bank,2 资料/文献,我第二遍看，给人物加功能标签：孟加拉迁移者 = migration；危地马拉农民 = farming stress；斐济村长 = island/community vulnerability。,可以。没有逐字字幕时，不要写直接引语。,,,,,,,,,,自发,,低,—,
151,E058,内部批注,视频与World Bank,2 资料/文献,先查维基百科：https://en.wikipedia.org/wiki/The_Economist。,维基百科在这里是媒体背景，不是气候事实核心来源。,,,,,,,,,,自发,,低,—,
152,E059,交互轮,视频与World Bank,2 资料/文献,我记录The Economist创办于1843年，是国际性新闻和商业周刊，文章常匿名。,可以放source evaluation，不必进正文。,CRAAP,学生执行,中,学生发言中含动作或判断,,,,,,自发,,低,—,透镜标签不构成引导（v3 修订）
153,E059,内部批注,视频与World Bank,2 资料/文献,我做CRAAP：Currency = 相关；Relevance = climate impacts；Authority = major media but not peer-reviewed；Purpose = public explanation。,平衡。,,,,,,,,,,自发,,低,—,
154,E059,内部批注,视频与World Bank,2 资料/文献,Accuracy我写：视频有编辑叙事，所以关键背景数字要找机构来源补强。,很好。,,,,,,,,,,自发,,低,—,
155,E059,内部批注,视频与World Bank,2 资料/文献,我选择孟加拉个案继续追，因为迁移数字更容易找机构来源。,这是基于可验证性的选择。,,,,,,,,,,自发,,低,—,
156,E060,内部批注,视频与World Bank,2 资料/文献,我搜World Bank Bangladesh climate migrants 2050。,地点、机构、现象、时间都有了。,,,,,,,,,,引导后自发接续,R152-R155,中,—,自行选孟加拉个案并搜 World Bank——选择理由由学生给出(可验证性)
157,E061,内部批注,视频与World Bank,2 资料/文献,我打开World Bank页面：https://www.worldbank.org/en/news/feature/2022/10/31/key-highlights-country-climate-and-development-report-for-bangladesh。,这类预测数字要小心对象、时间和“may/internal”这些词。,数据三问,学生执行,中,学生发言中含动作或判断,,,,,,自发,,低,—,透镜标签不构成引导（v3 修订）
158,E061,内部批注,视频与World Bank,2 资料/文献,打开理由：The Economist视频给出孟加拉迁移线索，我想找机构数据来支撑背景。,很好。,,,,,,,,,,自发,,低,—,
159,E061,内部批注,视频与World Bank,2 资料/文献,页面说13.3 million people may become internal migrants in next 30 years due to climate impacts。,保留限定词。,,,,,,,,,,自发,,低,—,
160,E061,内部批注,视频与World Bank,2 资料/文献,我标出may become，说明这是预测风险。,对。,,,,,,,,,,自发,,低,—,
161,E061,内部批注,视频与World Bank,2 资料/文献,我标出internal migrants，说明不是跨国refugees。,非常重要。,,,,,,,,,,自发,,低,—,
162,E061,内部批注,视频与World Bank,2 资料/文献,我标出next 30 years，说明不是当年发生数字。,对。,,,,,,,,,,自发,,低,—,
163,E062,内部批注,视频与World Bank,2 资料/文献,我删掉句子：13.3 million Bangladeshis are already climate refugees。,删得对，错误太多。,数据三问,学生执行,中,学生发言中含动作或判断,,,,,,自发,,低,—,透镜标签不构成引导（v3 修订）
164,E063,内部批注,视频与World Bank,2 资料/文献,我改成：World Bank highlights a risk that 13.3 million people in Bangladesh may become internal migrants over the next 30 years due to climate impacts。,这版准确。,,,,,,,,,,自发,,低,—,
165,E064,交互轮,视频与World Bank,2 资料/文献,我怎么感觉现在有点跑题了，这些这和我的题目有什么关系？,你问得对。这个材料不能当中国归因证据，不能写成“中国导致孟加拉迁移”。它只能放在一个更窄的位置：说明为什么 sustainability 不能只看 greening，还要看 climate impacts。如果你用它证明“中国造成了什么”，就是跑题；如果你用它解释“为什么 CO₂ 排放会影响我对 Earth sustainability 的判断”，就不跑题。真正连接中国的是前面的 OWID/GCB：China about 31.8% annual global CO₂ share in 2024。视频和 World Bank 只是说明这个排放维度为什么重要。,,,,,,,,,,自发,,低,—,
166,E065,交互轮,视频与World Bank,2 资料/文献,如果我要把他写在文章里面呢，它在文章里的功能是什么？,它是 impact-side context，不是 China-specific evidence。你的核心链条应该是：China greening evidence 很强，但 China current CO₂ share 也很大；而气候影响材料说明排放不是抽象数字，会影响迁移、农业和社区安全。因此 greening 不能直接推出 overall planetary sustainability。,,,,,,,,,,引导·AI提示,R165,中,—,★ P3 的完整功能定位(impact-side context / 不做中国归因)由 AI 整段给出
167,E065,内部批注,视频与World Bank,2 资料/文献,我决定正文只提一嘴孟加拉，不写危地马拉和斐济，因为800词不够。,合理。,,,,,,,,,,引导·AI提示,R165,中,—,
168,E065,内部批注,视频与World Bank,2 资料/文献,我把危地马拉和斐济保留在视频观看笔记，不进正文。,很好。,,,,,,,,,,引导·AI提示,R165,中,—,
169,E066,内部批注,视频与World Bank,2 资料/文献,证据卡Video/WorldBank-1我先记来源：The Economist YouTube video plus World Bank Bangladesh climate migration page,先确认这是谁说的、是什么类型的材料。,,,,,,,,,,自发,,高,—,套版填写(证据卡/资源表骨架源自R9 AI)
170,E066,内部批注,视频与World Bank,2 资料/文献,这张卡里我真正拿到的事实是：video cases of climate impacts; World Bank risk of 13.3 million internal migrants in Bangladesh in next 30 years,事实要保留指标、对象和时间范围。,,,,,,,,,,自发,,高,—,套版填写(证据卡/资源表骨架源自R9 AI)
171,E066,内部批注,视频与World Bank,2 资料/文献,"我准备用它说明一个比较小的判断：sustainability should include human vulnerability, not only vegetation metrics",这个判断要比事实高一层，但不能比事实大太多。,,,,,,,,,,自发,,高,—,套版填写(证据卡/资源表骨架源自R9 AI)
172,E066,内部批注,视频与World Bank,2 资料/文献,"中间的理由我这样写：if climate impacts can displace people, planetary sustainability must be evaluated through human consequences as well as ecological indicators",这一步就是把事实和观点接起来，很关键。,,,,,,,,,,自发,,高,—,套版填写(证据卡/资源表骨架源自R9 AI)
173,E066,内部批注,视频与World Bank,2 资料/文献,"我在旁边提醒自己：video is illustrative, not peer-reviewed scientific proof",保留这个限制，后面可以防止过度结论。,,,,,,,,,,自发,,高,—,套版填写(证据卡/资源表骨架源自R9 AI)
174,E066,内部批注,视频与World Bank,2 资料/文献,"我在旁边提醒自己：World Bank figure is projected risk, not already occurred migration",保留这个限制，后面可以防止过度结论。,,,,,,,,,,自发,,高,—,套版填写(证据卡/资源表骨架源自R9 AI)
175,E066,内部批注,视频与World Bank,2 资料/文献,我在旁边提醒自己：Bangladesh case is not China-specific causation evidence,保留这个限制，后面可以防止过度结论。,,,,,,,,,,自发,,高,—,套版填写(证据卡/资源表骨架源自R9 AI)
176,E066,内部批注,视频与World Bank,2 资料/文献,这张卡最后大概放在：body paragraph 3 as contextual human-impact evidence,位置清楚，正文才不会变成资料堆叠。,,,,,,,,,,自发,,高,—,套版填写(证据卡/资源表骨架源自R9 AI)
177,E067,内部批注,研究问题形成,3 方法/RQ结构,现在我回看前面的材料：公众号和NASA让我看到greening这条线；Nature让我看到中国单独的leaf-area数字；OWID/GCB让我看到emissions；The Economist和World Bank让我看到climate impacts。,对。到这一步，题目才自然地从一个朴素问题变成多维判断。,,,,,,,,,,自发,,低,—,
178,E068,交互轮,研究问题形成,3 方法/RQ结构,所以我现在才觉得可以把原题改写得更精确一点。,可以。现在不是凭空设计，而是根据已经查到的证据维度来改写。,,,,,,,,,,自发,,低,—,
179,E069,内部批注,研究问题形成,3 方法/RQ结构,"我现在写正式版本：To what extent has China contributed to planetary sustainability, if sustainability is measured by greening, emissions, and climate impacts?",这个出现时机就自然了。greening、emissions和climate impacts不是一开始想出来的，而是被材料一步步推出来的。,,,,,,,,,,自发,,低,—,正式 RQ 由学生在材料后写出
180,E070,交互轮,研究问题形成,3 方法/RQ结构,我回头拆题目里的make：现在我觉得它不是“是不是中国一个国家让地球变好”，而是causal contribution，也就是中国在可观察指标里贡献到什么程度。,很好。这个理解来自你发现中印合计、中国单独数字和全球排放口径之间的差别。,,,,,,,,,,自发,,低,—,
181,E070,内部批注,研究问题形成,3 方法/RQ结构,我回头拆Earth：它应该是global scale，不是中国城市绿化，也不是只看中国官方政策。,准确。你已经找了全球叶面积、全球CO2份额和孟加拉气候影响背景。,,,,,,,,,,自发,,低,—,
182,E070,内部批注,研究问题形成,3 方法/RQ结构,我回头拆more sustainable：它不能只等于green-looking，至少要同时看greening、emissions和human vulnerability。,这就是概念从材料中长出来，而不是提前套进去。,,,,,,,,,,自发,,低,—,
183,E070,内部批注,研究问题形成,3 方法/RQ结构,我现在才把问题拆成几个小问题：第一，全球变绿这件事到底有没有比较硬的证据？,对应你已经追到的Nature正面证据。,,,,,,,,,,自发,,低,—,
184,E070,内部批注,研究问题形成,3 方法/RQ结构,第二，中国自己的贡献是多少？还是我只能说中印合计？,这个问题来自你发现NASA标题和数据里有China and India。,,,,,,,,,,自发,,低,—,
185,E070,内部批注,研究问题形成,3 方法/RQ结构,第三，变绿能不能直接等于更可持续？,这是从Nature限制、OWID排放和视频影响之间形成的概念边界。,,,,,,,,,,自发,,低,—,
186,E070,内部批注,研究问题形成,3 方法/RQ结构,第四，中国CO2排放规模会怎样限制我的结论？,对应你自己搜索China share of global CO2 emissions 2024后找到的排放线。,,,,,,,,,,自发,,低,—,
187,E070,内部批注,研究问题形成,3 方法/RQ结构,第五，为什么还要看气候影响下的人，而不是只看植被？,对应视频和World Bank背景数字。,,,,,,,,,,自发,,低,—,
188,E070,内部批注,研究问题形成,3 方法/RQ结构,所以我现在决定：这篇文章不能写成简单的是或不是，应该写成“到什么程度成立”。,非常合适。材料结构已经说明这个题更适合回答到什么程度成立。,,,,,,,,,,自发,,低,—,
189,E070,内部批注,研究问题形成,3 方法/RQ结构,我先把可能结论摆在纸上：完全成立、有限成立、现在看不清、基本不成立。,这个时机比一开始设更合理，因为你已经知道会有哪些正负证据。,,,,,,,,,,自发,,低,—,
190,E071,交互轮,研究问题形成,3 方法/RQ结构,完全成立的条件会很高：变绿证据强，而且排放和人的影响都不能明显拖后腿。,这个条件很高，后面要看证据能不能达到。,,,,,,,,,,自发,,低,—,
191,E071,内部批注,研究问题形成,3 方法/RQ结构,有限成立的意思是：某一个维度真的成立，但不能把它扩成整体结论。,这会是一个重要候选结论。,,,,,,,,,,自发,,低,—,
192,E071,内部批注,研究问题形成,3 方法/RQ结构,现在看不清，就是正反证据没法放在同一个秤上比较，或者关键证据不够。,可以。,,,,,,,,,,自发,,低,—,
193,E072,交互轮,研究问题形成,3 方法/RQ结构,基本不成立，就是正面证据撑不起“中国让地球更可持续”这个说法。,可以，但目前不要提前选。,,,,,,,,,,自发,,低,—,
194,E072,内部批注,研究问题形成,3 方法/RQ结构,我先不选边站，只把这几种可能放着，等后面写段落时再看哪一种最符合证据。,现在这样就不假了，因为它是在第一轮证据之后形成的。,,,,,,,,,,自发,,低,—,
195,E073,交互轮,研究问题形成,3 方法/RQ结构,材料多了以后，我不想再凭感觉挑来源，所以把最开始的小表加了几列：为什么点开、拿到什么事实、我准备用它说什么、它哪里不能用、最后放哪一段。,这个升级很自然。材料变复杂后，记录也要跟着变细。,,,,,,,,,,自发,,低,—,
196,E073,内部批注,研究问题形成,3 方法/RQ结构,我还设排除规则：只提供背景但不能改变结论的材料，进source log，不进正文。,对。正文空间有限，过程材料可以保留更多。,,,,,,,,,,自发,,低,—,自设排除规则
197,E074,内部批注,研究问题形成,3 方法/RQ结构,我给每条来源贴个状态标签：只是候选、已经打开、已经核过、摘了数字、准备正文用、降级、排除。,很好。这样每条来源都能看出它后来去了哪里。,,,,,,,,,,自发,,低,—,
198,E074,内部批注,研究问题形成,3 方法/RQ结构,我又给来源贴一个更粗的功能标签：核心证据、背景材料、反方线索、最后不用。,这个分类会让后面写作更清楚。,,,,,,,,,,自发,,低,—,
199,E075,交互轮,研究问题形成,3 方法/RQ结构,我先不追求资料多，而是追求每条材料有功能。,这就是高水平研究和资料堆叠的区别。,,,,,,,,,,自发,,低,—,
200,E075,内部批注,研究问题形成,3 方法/RQ结构,我给自己写了个防跑题提醒：我不是在评价“中国环保好不好”，而是在问它对全球可持续性这个大判断到底贡献了多少。,这能避免只写中国国内环境。,,,,,,,,,,自发,,低,—,
201,E075,内部批注,研究问题形成,3 方法/RQ结构,正面证据这边，我先抓最硬的一条：全球变绿，尤其是净叶面积增加。,这是题目里最直接的正面路径。,,,,,,,,,,自发,,低,—,
202,E075,内部批注,研究问题形成,3 方法/RQ结构,但我旁边又写了一句刹车：如果CO2排放规模还是很大，那“更可持续”就不能说满。,这是气候压力的限制路径。,,,,,,,,,,自发,,低,—,
203,E075,内部批注,研究问题形成,3 方法/RQ结构,我还加了一栏：人受到气候影响的部分也要看，不然这篇文章会只像在看卫星图片。,这能说明为什么sustainability不只是植被。,,,,,,,,,,自发,,低,—,
204,E076,交互轮,研究问题形成,3 方法/RQ结构,中文官方材料可以放进去，但我先把它定位成政策语境，不让它替代结果数据。,政策语境可以补充，但不是结果证明。,,,,,,,,,,自发,,低,—,
205,E076,内部批注,研究问题形成,3 方法/RQ结构,反方我还没有想法，一会我搜好资料确定了我再回来写,反方要限定在它真正能说的范围。,,,,,,,,,,自发,,低,—,
206,E076,内部批注,研究问题形成,3 方法/RQ结构,最后我提醒自己：正文只有800词，材料再多也不能全塞进去。我感觉好多要写的啊，我好担心到时候写不完字数就到了,这个约束决定你必须筛选证据。,,,,,,,,,,自发,,低,—,
207,E077,交互轮,研究问题形成,3 方法/RQ结构,老师还要求两种媒介，所以视频要有，但视频只能做人的影响这一层，不能抢走科学证据的位置。,所以视频来源有功能，但不能喧宾夺主。,,,,,,,,,,引导·任务要求,教师任务说明,中,—,
208,E078,内部批注,反方,2 资料/文献,我需要处理反方，但不想写假反方。,好。反方要公平呈现。,,,,,,,,,,自发,,低,—,
209,E079,交互轮,反方,2 资料/文献,YouTube推荐给我一个反方视频：https://www.youtube.com/watch?v=axAOTVq6cxM，说CO2让植物生长，标题CO2-induced Benefits to Plant Water Use Efficiency，那是不是可以说气候变化也没有那么坏？,可以作为反方线索。先不要当可靠来源。,SIFT · Stop,AI示范,中,学生未执行该动作，指令在本轮 AI 回复中,,,,,,自发,,低,—,透镜标签不构成引导（v3 修订）
210,E080,交互轮,入口：反方视频后的页面,2 资料/文献,这个反方视频简介里有这个网站：https://www.co2science.org/video/confirmed/wue.php。我打开了,先把它当成“反方候选材料”，不要马上引用，也不要马上打假。第一步只记录：它主张什么、页面属于谁、它最多能证明什么。,SIFT · Stop,AI示范,中,学生未执行该动作，指令在本轮 AI 回复中,,,,,,引导·AI提示,R209,中,—,同轮透镜标签:SIFT---Stop and Refl
211,E081,交互轮,入口：反方视频后的页面,2 资料/文献,页面说 CO2 增加会让植物用水效率更高，好像意思是 CO2 对植物有好处。,你可以先承认窄事实：CO2 fertilization / water-use efficiency 可能是植物生理层面的机制。但注意，它还不能推出“气候变化整体不严重”。,To What Degree,AI示范,中,学生未执行该动作，指令在本轮 AI 回复中,,,,,,引导·AI提示,R210,中,—,同轮透镜标签:To What Degree
212,E081,内部批注,入口：反方视频后的页面,2 资料/文献,我想把它拆成一句话：CO2增加 -> 植物更省水 -> 所以排放也有好处。,拆得还不够。它真正可能藏着两步跳跃：第一，植物水分利用效率提高是否普遍成立；第二，这个好处是否足以抵消温度、干旱、极端天气、海平面等风险。,论证解剖 / warrant,学生执行,待复核,★ 自动判据不足，需人工确认归属,,,,,,引导·AI提示,R210,中,—,同轮透镜标签:论证解剖
213,E082,交互轮,入口：反方视频后的页面,2 资料/文献,我先不反驳它，只问它能证明什么。,很好。它最多能证明：在某些条件下，升高CO2可能提高部分植物的水分利用效率。它不能证明：CO2排放整体有益、气候变化不严重、中国排放不重要。,CRAAP,学生执行,高,「我先不反驳它，只问它能证明什么」,,,,,,自发,,低,—,透镜标签不构成引导（v3 修订）
214,E083,交互轮,反方视频后的入口,2 资料/文献,所以我可以把这个作为论据说CO2其实挺好吗？,先不要一下子写这么大。它最多先是在说植物层面的某个可能好处，还不是在证明气候变化整体没问题。,,,,,,,,,,自发,,低,—,
215,E084,交互轮,反方视频后的入口,2 资料/文献,这个网页和NASA那个地球变绿有点像，都是植物变好。,有一点关系，但不是一回事。NASA/Nature那条是 leaf area 变绿，这里是 water-use efficiency。你可以先记成“相关但指标不同”。,,,,,,,,,,引导·AI提示,R214,中,—,
216,E085,交互轮,反方视频后的入口,2 资料/文献,我感觉这个网页看起来不像NASA，也不像论文。,这个感觉可以作为提醒，但不能作为证据。下一步别评价页面风格，先找它是谁办的。,SIFT · Stop,AI示范,中,学生未执行该动作，指令在本轮 AI 回复中,,,,,,引导·AI提示,R215,中,—,同轮透镜标签:SIFT---Stop and Refl
217,E086,交互轮,反方视频后的入口,2 资料/文献,我在页面上看到 CO2 Science，好像还有 Center for the Study of Carbon Dioxide and Global Change。这个是大学吗？,现在不能确定。名字听起来像研究机构，但要看 About、Mission、Staff 或 Contact。,SIFT · Investigate,学生执行·AI先示范,中,学生执行；前一轮 R216 的 AI 已提示该动作,,,,,,引导·AI提示,R216,中,—,同轮透镜标签:SIFT---Investigate t
218,E087,交互轮,反方视频后的入口,2 资料/文献,它标题旁边没有像NASA那样清楚的作者和发布日期，我有点不放心。,这个“不放心”是合理的，但先转成可查问题：作者是谁？机构是谁？它自己怎么介绍自己？,SIFT · Investigate,AI示范,高,AI 把「不放心」转成三个可查问题,,,,,,自发,,低,—,透镜标签不构成引导（v3 修订）
219,E088,交互轮,反方视频后的入口,2 资料/文献,这个网站算正经科学网站吗？,我不能直接替你盖章。你先查它的自我介绍，再看外部怎么介绍它。,SIFT · Investigate,AI示范,中,学生未执行该动作，指令在本轮 AI 回复中,,,,,,自发,,低,—,透镜标签不构成引导（v3 修订）
220,E089,交互轮,反方视频后的入口,2 资料/文献,我现在先不引用它，只放一个候选。,"对，状态可以写：opened, not yet evaluated。",SIFT · Investigate,学生执行,待复核,★ 自动判据不足，需人工确认归属,,,,,,引导·AI提示,R219,中,—,同轮透镜标签:SIFT--Investigate th
221,E090,内部批注,查这个网站是谁,2 资料/文献,我点 About Us：https://www.co2science.org/about/aboutus.php。,这个页面可以帮你看它怎么介绍自己。记住，自我介绍不是外部验证。,SIFT · Investigate,学生执行,中,学生发言中含动作或判断,,,,,,自发,,低,—,透镜标签不构成引导（v3 修订）
222,E091,交互轮,查这个网站是谁,2 资料/文献,About页像一个目录，里面有 Mission、Position Papers、Staff、Media Information。,先看 Mission 和 Staff。Mission看它的目的，Staff看是谁在做。,SIFT · Investigate,AI示范,中,学生未执行该动作，指令在本轮 AI 回复中,,,,,,自发,,低,—,透镜标签不构成引导（v3 修订）
223,E091,内部批注,查这个网站是谁,2 资料/文献,我先点 Mission Statement：https://www.co2science.org/about/mission.php。,可以。你要看它是做原始研究、整理文献、评论，还是宣传某种立场。,SIFT · Investigate,学生执行·AI先示范,中,学生执行；前一轮 R222 的 AI 已提示该动作,,,,,,自发,,低,—,同轮透镜标签:SIFT--Investigate th
224,E092,交互轮,查这个网站是谁,2 资料/文献,它说会发布 reports、editorials、mini-reviews，关于大气CO2增加的气候和生物后果。,这说明它不是单纯数据平台，更像整理和评论CO2相关研究的网站。先这样中性记录。,SIFT · Investigate,学生执行,待复核,★ 自动判据不足，需人工确认归属,,,,,,引导·AI提示,R223,中,—,同轮透镜标签:SIFT--Investigate th
225,E093,交互轮,查这个网站是谁,2 资料/文献,它还说 separate reality from rhetoric。这个说法听起来有点像在反驳别人。,这个观察可以记下来：它的语气不是完全中立数据口吻，而是有“纠正争论”的表达。不要马上说它错，只记表达特点。,SIFT · Investigate,AI示范,中,学生未执行该动作，指令在本轮 AI 回复中,,,,,,自发,,低,—,透镜标签不构成引导（v3 修订）
226,E094,交互轮,查这个网站是谁,2 资料/文献,我想写“它有立场”。,可以写得更稳一点：它呈现出明确的议题取向，尤其关注CO2可能带来的正面影响。,,,,,,,,,,自发,,低,—,
227,E095,交互轮,查这个网站是谁,2 资料/文献,我点 Staff：https://www.co2science.org/about/center_staff.php。,好。先看人名和角色，不急着评价这些人。,SIFT · Investigate,学生执行,中,学生发言中含动作或判断,,,,,,自发,,低,—,透镜标签不构成引导（v3 修订）
228,E096,交互轮,查这个网站是谁,2 资料/文献,Staff页里有 Truman W. Idso 和 Craig D. Idso。,记录下来。现在你遇到的是具体人名，下一步自然是查其中一个人是谁。,SIFT · Investigate,AI示范,中,学生未执行该动作，指令在本轮 AI 回复中,,,,,,引导·AI提示,R227,中,—,同轮透镜标签:SIFT--Investigate th
229,E097,交互轮,查这个网站是谁,2 资料/文献,Craig Idso这个名字我完全不认识。,那就搜这个人和网站名，不要先搜结论。比如 Craig Idso CO2 Science。,SIFT · Trace,AI示范,中,学生未执行该动作，指令在本轮 AI 回复中,,,,,,引导·AI提示,R228,中,—,同轮透镜标签:SIFT--Trace the Clai
230,E098,内部批注,查这个网站是谁,2 资料/文献,我搜：Craig Idso CO2 Science。,这个检索很真实：你是在查“这个人是谁”，不是预设网站有什么问题。,SIFT · Trace,学生执行·AI先示范,中,学生执行；前一轮 R229 的 AI 已提示该动作,,,,,,自发,,低,—,透镜标签不构成引导（v3 修订）
231,E099,交互轮,查这个网站是谁,2 资料/文献,搜索结果有他自己的资料，也有一些外部网站，我不知道先点哪个。,先看结果标题和域名。官网/个人资料是自述，外部页面是横向阅读。可以各看一个，但要分清类型。,SIFT · Trace,AI示范,中,学生未执行该动作，指令在本轮 AI 回复中,,,,,,自发,,低,—,透镜标签不构成引导（v3 修订）
232,E100,交互轮,查这个网站是谁,2 资料/文献,我先点回官网相关页面，因为我怕外部网站乱说。,可以，这很正常。先把自述看完，再看外部。,SIFT · Trace,学生执行·AI先示范,中,学生执行；前一轮 R231 的 AI 已提示该动作,,,,,,引导·AI提示,R231,中,—,同轮透镜标签:SIFT--Trace the Clai
233,E101,交互轮,查这个网站是谁,2 资料/文献,官网页面还是让我觉得它很专注CO2好处，但我不知道这是不是正常。,这时可以做横向阅读：看看外部资料怎么介绍这个机构或人员。,SIFT · Trace,学生执行,待复核,★ 自动判据不足，需人工确认归属,,,,,,自发,,低,—,透镜标签不构成引导（v3 修订）
234,E102,内部批注,横向阅读：不是先问钱,2 资料/文献,我搜：Center for the Study of Carbon Dioxide and Global Change。,这个检索更自然。你是用它自己的正式名称查“它是什么”，不是预设任何具体背景。,SIFT · Trace,学生执行,中,学生发言中含动作或判断,,,,,,自发,,低,—,透镜标签不构成引导（v3 修订）
235,E103,交互轮,横向阅读：不是先问钱,2 资料/文献,搜索结果里有 DeSmog 的页面，标题就是这个机构名。,可以点，但先记：DeSmog是气候议题资料库/调查网站，可能有明确立场。它适合给线索，不等于最终裁判。,SIFT · Trace,学生执行,待复核,★ 自动判据不足，需人工确认归属,,,,,,自发,,低,—,透镜标签不构成引导（v3 修订）
